Observation_id,Behaviour,Modifier,Phase,Behaviour_duration_by_Phase
Allegra_FC_17112022_1052,Dhb,NA,Dishabituation,256
Allegra_FC_17112022_1052,Mov,Away from speaker,Dishabituation,79
Allegra_FC_17112022_1052,Pre,With kin,Dishabituation,6
Allegra_FC_17112022_1052,Rst,With kin,Dishabituation,25
Allegra_FC_17112022_1052,Vig,Mid neck,Dishabituation,177
Allegra_FC_17112022_1052,Vig,Short Neck,Dishabituation,81
Allegra_FC_17112022_1052,Eat,With kin,Habituation,35
Allegra_FC_17112022_1052,Mov,Away from speaker,Habituation,36
Allegra_FC_17112022_1052,Vig,Mid neck,Habituation,54
Allegra_FC_17112022_1052,Pre,With kin,Silence_3,28
Allegra_FC_17112022_1052,Vig,Mid neck,Silence_3,9
Allegra_FC_17112022_1052,Vig,Short Neck,Silence_3,14
Allegra_FRF_20112022_0943,Dhb,NA,Dishabituation,246
Allegra_FRF_20112022_0943,Pre,With kin,Dishabituation,68
Allegra_FRF_20112022_0943,Rst,With kin,Dishabituation,108
Allegra_FRF_20112022_0943,Vig,Short Neck,Dishabituation,64
Allegra_FRF_20112022_0943,Hab,NA,Habituation,247
Allegra_FRF_20112022_0943,Rst,With kin,Habituation,21
Allegra_FRF_20112022_0943,Vig,Short Neck,Habituation,4
Allegra_FRF_20112022_0943,Pre,With kin,Silence_1,2
Allegra_FRF_20112022_0943,Rst,With kin,Silence_1,25
Allegra_FRF_20112022_0943,Vig,Mid neck,Silence_1,10
Allegra_FRF_20112022_0943,Vig,Short Neck,Silence_2,5
Allegra_FRF_20112022_0943,Rst,With kin,Silence_3,62
Allegra_PRF_08102022_0856,Pre,With kin,Dishabituation,59
Allegra_PRF_08102022_0856,Vig,Mid neck,Dishabituation,18
Allegra_PRF_08102022_0856,Pre,With kin,Habituation,9
Allegra_PRF_08102022_0856,Rst,With kin,Habituation,20
Allegra_PRF_08102022_0856,Vig,Mid neck,Habituation,4
Allegra_PRF_08102022_0856,Vig,Short Neck,Habituation,12
Allegra_PRF_08102022_0856,Pre,With kin,Silence_1,10
Allegra_PRF_08102022_0856,Rst,With kin,Silence_1,14
Allegra_PRF_08102022_0856,Vig,Short Neck,Silence_1,15
Allegra_PRF_08102022_0856,Pre,With kin,Silence_3,65
Allegra_PRF_08102022_0856,Vig,Mid neck,Silence_3,8
Anthony_FC_08112022_0843,Dhb,NA,Dishabituation,245
Anthony_FC_08112022_0843,Eat,With kin,Dishabituation,201
Anthony_FC_08112022_0843,Mov,Away from speaker,Dishabituation,7
Anthony_FC_08112022_0843,Vig,Mid neck,Dishabituation,20
Anthony_FC_08112022_0843,Eat,With kin,Habituation,97
Anthony_FC_08112022_0843,Mov,Away from speaker,Habituation,91
Anthony_FC_08112022_0843,Mov,Towards speaker,Habituation,9
Anthony_FC_08112022_0843,Vig,Mid neck,Habituation,126
Anthony_FC_08112022_0843,Ass,Kin,Silence_1,60
Anthony_FC_08112022_0843,Eat,With kin,Silence_1,37
Anthony_FC_08112022_0843,Mov,Away from speaker,Silence_1,18
Anthony_FC_08112022_0843,Mov,Towards speaker,Silence_1,20
Anthony_FC_08112022_0843,Pre,Alone,Silence_1,10
Anthony_FC_08112022_0843,Vig,Mid neck,Silence_1,56
Anthony_FC_08112022_0843,Eat,With kin,Silence_2,37
Anthony_FC_08112022_0843,Vig,Mid neck,Silence_2,3
Anthony_FC_08112022_0843,Eat,With kin,Silence_3,3
Anthony_FC_08112022_0843,Mov,Away from speaker,Silence_3,29
Anthony_FC_08112022_0843,Vig,Mid neck,Silence_3,28
Anthony_FC_12102022_0942,Dhb,NA,Dishabituation,244
Anthony_FC_12102022_0942,Eat,Alone,Dishabituation,26
Anthony_FC_12102022_0942,Eat,With kin,Dishabituation,81
Anthony_FC_12102022_0942,Mov,Away from speaker,Dishabituation,5
Anthony_FC_12102022_0942,Mov,Towards speaker,Dishabituation,2
Anthony_FC_12102022_0942,Vig,Mid neck,Dishabituation,14
Anthony_FC_12102022_0942,Eat,With kin,Habituation,116
Anthony_FC_12102022_0942,Hab,NA,Habituation,254
